CPU_STREAM_START_UTC 2026-09-14T20:35:25Z
Linux 6.8.0-138-generic (bench-driver-1) 	09/14/26 	_x86_64_	(8 CPU)

20:35:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:35:35       7   16.48    0.00    2.20    0.00    0.00    0.00    0.00    0.00    0.00   81.32

20:35:35     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:35:36     all   37.88    0.00    2.27    0.00    0.00    2.02    0.00    0.00    0.00   57.83
20:35:36       0    0.95    0.00    0.00    0.00    0.00   15.24    0.00    0.00    0.00   83.81
20:35:36       1   93.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:36       2    1.03    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   97.94
20:35:36       3   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:36       4    1.98    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   94.06
20:35:36       5    6.25    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   91.67
20:35:36       6   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:36       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

20:35:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:35:37     all   34.01    0.00    3.44    0.00    0.00    1.78    0.00    0.00    0.00   60.76
20:35:37       0    0.00    0.00    0.00    0.00    0.00   12.62    0.00    0.00    0.00   87.38
20:35:37       1   69.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   21.00
20:35:37       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:37       3   96.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:37       4   23.23    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   74.75
20:35:37       5    2.15    0.00    6.45    0.00    0.00    1.08    0.00    0.00    0.00   90.32
20:35:37       6   76.77    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   19.19
20:35:37       7    1.08    0.00    1.08    0.00    0.00    0.00    0.00    0.00    0.00   97.85

20:35:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:35:38     all   23.79    0.00    2.16    0.00    0.00    1.53    0.00    0.00    0.00   72.52
20:35:38       0    0.00    0.00    0.94    0.00    0.00   11.32    0.00    0.00    0.00   87.74
20:35:38       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:38       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:38       3   94.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:38       4   91.09    0.00    8.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:38       5    1.05    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   97.89
20:35:38       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:38       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

20:35:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:35:39     all   24.58    0.00    1.66    0.00    0.00    1.66    0.00    0.00    0.00   72.09
20:35:39       0    0.95    0.00    0.95    0.00    0.00   12.38    0.00    0.00    0.00   85.71
20:35:39       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:39       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:39       3   66.00    0.00   11.00    0.00    0.00    0.00    0.00    0.00    0.00   23.00
20:35:39       4  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:39       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:39       6   26.53    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   72.45
20:35:39       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

20:35:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:35:40     all   24.33    0.00    2.56    0.26    0.00    0.64    0.00    0.00    0.00   72.22
20:35:40       0    0.00    0.00    4.00    2.00    0.00    5.00    0.00    0.00    0.00   89.00
20:35:40       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:40       2    1.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.94
20:35:40       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:40       4  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:40       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:40       6   87.13    0.00   12.87    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:40       7    1.09    0.00    3.26    0.00    0.00    0.00    0.00    0.00    0.00   95.65

20:35:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:35:41     all   25.49    0.00    0.39    0.00    0.00    0.39    0.00    0.00    0.00   73.74
20:35:41       0    0.00    0.00    0.00    0.00    0.00    3.03    0.00    0.00    0.00   96.97
20:35:41       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:41       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:41       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:41       4   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:41       5    0.00    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   98.96
20:35:41       6   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:41       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

20:35:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:35:42     all   25.64    0.00    0.26    0.00    0.00    0.26    0.00    0.00    0.00   73.84
20:35:42       0    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
20:35:42       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:42       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:42       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:42       4   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:42       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:42       6   98.02    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00    0.00
20:35:42       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

20:35:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:35:43     all   25.71    0.00    0.39    0.00    0.00    0.13    0.00    0.00    0.00   73.77
20:35:43       0    0.00    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   98.02
20:35:43       1    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
20:35:43       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:43       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:43       4  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:43       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
20:35:43       6   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:43       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
